Figure,Panel,Benchmark,N,Target contacts,RB-full contacts,HP energy,Source best JSON,Source QUBO JSON,Existing PNG,Status
Fig. 1,a,20merA,20,9,9,-9,runs/20merA/local/Final_run/fix7_pairwise_fresh_qubo/iter01_nowarm_4tr_20k/best_overall.json,runs/20merA/local/Final_run/fix7_pairwise_fresh_qubo/qubos/20merA_pairwise_L6_hp1p0.json,runs/20merA/local/20merA.png,available
Fig. 1,b,20merB,20,10,10,-10,runs/20merB/local/Final_run/fix7_pairwise_fresh_qubo/iter01_nowarm_16tr_50k/best_overall.json,runs/20merB/local/Final_run/fix7_pairwise_fresh_qubo/qubos/20merB_pairwise_L6_hp1p0.json,runs/20merB/local/20merB.png,available
Fig. 1,c,24mer,24,9,9,-9,runs/24mer/local/Final_run/fix7_pairwise_fresh_qubo/iter01_nowarm_24tr_60k/best_overall.json,runs/24mer/local/Final_run/fix7_pairwise_fresh_qubo/qubos/24mer_pairwise_L6_hp1p0.json,runs/24mer/local/24mer.png,available
Fig. 1,d,25mer,25,8,8,-8,runs/25mer/local/Final_run/fix7_pairwise_fresh_qubo/iter01_nowarm_24tr_60k/best_overall.json,runs/25mer/local/Final_run/fix7_pairwise_fresh_qubo/qubos/25mer_pairwise_L7_hp1p0.json,runs/25mer/local/25mer.png,available
Fig. 1,e,36mer,36,14,14,-14,runs/36mer/local/Final_run/fix7_pairwise_fresh_qubo/iter01_nowarm_32tr_100k/best_overall.json,runs/36mer/local/Final_run/fix7_pairwise_fresh_qubo/qubos/36mer_pairwise_L8_hp1p4.json,runs/36mer/local/36mer.png,available
Fig. 1,f,48mer,48,23,23,-23,runs/48mer/local/Final_run/fix7_pairwise_fresh_qubo/iter01_nowarm_64tr_500k/best_overall.json,runs/48mer/local/Final_run/fix7_pairwise_fresh_qubo/qubos/48mer_pairwise_L11_hp1p4.json,runs/48mer/local/48mer.png,available
Fig. 1,g,50mer,50,21,21,-21,runs/50mer/local/Final_run/fix7_pairwise_fresh_qubo/iter01_nowarm_64tr_300k/best_overall.json,runs/50mer/local/Final_run/fix7_pairwise_fresh_qubo/qubos/50mer_pairwise_L11_hp3p2.json,runs/50mer/local/50mer.png,available
Fig. 1,h,60mer,60,36,36,-36,runs/60mer/local/Final_run/fix7_pairwise_targetstop_runtime_reduced/iter03_stage3_selfwarm_256tr_2M_targetstop_retry/best_overall.json,runs/60mer/local/Final_run/fix7_pairwise_fresh_qubo/qubos/60mer_pairwise_L9_hp1p4.json,runs/60mer/local/60mer.png,available
Fig. 1,i,64mer,64,42,42,-42,runs/64mer/local/Final_run/fix7_pairwise_targetstop_runtime_reduced/iter04_fallback_nowarm_256tr_1p5M_targetstop/best_overall.json,runs/64mer/local/Final_run/fix7_pairwise_fresh_qubo/qubos/64mer_pairwise_L10_hp2p5.json,runs/64mer/local/64mer.png,available
Fig. 1,j,85mer,85,53,53,-53,runs/85mer/local/Final_run/fix7_istrail_long_16w_big_budget/iter01_warm256_2M_16w/best_overall.json,runs/85mer/local/Final_run/fix7_istrail_long_warm_budget/qubos/85mer_pairwise_L12_hp3p0.json,runs/85mer/local/Final_run/fix7_istrail_long_16w_big_budget/iter01_warm256_2M_16w/85mer_16w_big_budget_best_fold.png,available
Fig. 1,k,100merA,100,48,48,-48,runs/100merA/local/Final_run/fix7_istrail_100mer_L13_target_refine/iter02_L13_hp4_warm768_3M_16w_retry/best_overall.json,runs/100merA/local/Final_run/fix7_istrail_100mer_L13_target_refine/qubos/100merA_pairwise_L13_hp4p0.json,runs/100merA/local/Final_run/fix7_istrail_100mer_L13_target_refine/iter02_L13_hp4_warm768_3M_16w_retry/100merA_L13_target_refine_best_fold.png,available
Fig. 1,l,100merB,100,50,50,-50,runs/100merB/local/Final_run/fix7_istrail_100mer_L13_target_refine/iter02_L13_hp4_warm768_3M_16w_retry/best_overall.json,runs/100merB/local/Final_run/fix7_istrail_100mer_L13_target_refine/qubos/100merB_pairwise_L13_hp4p0.json,runs/100merB/local/Final_run/fix7_istrail_100mer_L13_target_refine/iter02_L13_hp4_warm768_3M_16w_retry/100merB_L13_target_refine_best_fold.png,available




