Benchmark,E_star,FoldingZero,AlphaGo Zero,DRL,DQN-LSTM,VA reported,RB-full,Notes
20merA,-9,-9,-8,-6,-9,-9,-9,Prior-method values follow VA paper Table 2; RB-full energy is -target contacts.
20merB,-10,-,-9,-8,-10,-10,-10,Dash means unreported in the cited comparison table.
24mer,-9,-8,-8,-6,-9,-9,-9,
25mer,-8,-7,-7,-,-8,-8,-8,
36mer,-14,-13,-13,-,-14,-14,-14,
48mer,-23,-18,-,-,-23,-23,-23,
50mer,-21,-18,-,-,-21,-21,-21,
60mer,-36,-,-,-,-,-36,-36,
64mer,-42,-,-,-,-,-,-42,Extended Istrail benchmark row added for this manuscript.
85mer,-53,-,-,-,-,-,-53,Extended Istrail benchmark row added for this manuscript.
100merA,-48,-,-,-,-,-,-48,Extended Istrail benchmark row added for this manuscript.
100merB,-50,-,-,-,-,-,-50,Extended Istrail benchmark row added for this manuscript.




